zip,total,total_error,white_total,white_error,african_american_total,african_american_error,asian_total,asian_error,other_race_total,other_race_error,multiracial_total,multiracial_error
23924,5625,518,3148,442,2248,315,56,0,117,170,224,201
23927,4074,423,2994,410,1033,273,8,13,8,26,52,70
23930,4919,513,2969,428,1904,315,12,5,7,36,68,120
23934,524,268,386,222,138,142,12,0,0,36,0,36
23936,8215,660,4483,469,3264,315,26,6,269,172,386,264
23937,1794,390,1172,279,584,246,12,6,0,36,64,72
23938,233,119,233,119,0,12,12,0,0,36,0,36
23942,1239,407,1024,363,198,195,6,14,3,30,0,36
23943,54,57,48,53,5,7,12,0,0,36,2,22
23944,3096,415,1675,306,1201,293,12,172,1,26,94,90
23947,3927,613,3030,492,695,308,12,22,7,43,346,288
23950,3870,592,2144,423,1696,543,15,0,30,74,0,36
23952,238,159,227,158,0,12,12,0,0,36,22,48
23954,1663,540,726,313,838,473,12,99,0,36,0,36
23958,3318,694,1879,453,1374,546,15,16,7,39,84,116
23959,1198,270,947,251,240,152,12,11,0,36,0,36
23960,1541,412,719,269,771,329,12,9,0,36,84,144
23962,830,309,617,320,213,166,12,0,0,36,0,36
23963,88,78,48,54,40,51,12,0,0,36,0,36
23964,1278,247,638,170,632,213,12,8,0,36,0,36
23966,2286,614,1286,361,751,382,52,16,50,76,366,360
23967,1137,342,716,252,421,209,12,0,0,36,0,36
23968,604,241,273,126,324,211,12,7,0,36,0,36
23970,8616,652,5385,616,3164,365,17,0,4,43,126,170
23974,5608,557,3148,413,2225,363,17,33,8,48,388,351
23976,34,28,26,23,8,15,12,0,0,36,0,36
24011,518,87,388,63,24,15,12,54,13,43,78,88
24012,30220,1232,22091,1124,5286,977,117,573,466,395,3608,2017
24013,8478,722,6511,731,1544,463,17,0,20,57,806,494
24014,16605,870,14367,878,1444,389,19,388,67,122,678,349
24015,14677,748,12367,711,959,393,20,931,12,58,816,427
24016,8759,884,3811,365,4232,869,32,226,146,190,688,341
24017,23699,1214,7270,669,14733,1086,74,445,206,211,2090,1262
