id,county_id,Name,AltName,OrigName,State,County1,County2,County3,OrigCounty,Established,Discontinued,Continuous,StampIndex,ID,Coordinates,Duration,GNIS.Match,GNIS.Name,GNIS.County,GNIS.State,GNIS.FEATURE_ID,GNIS.Feature.Class,GNIS.OrigName,GNIS.OrigCounty,GNIS.Latitude,GNIS.Longitude,GNIS.ELEV_IN_M,GNIS.Dist,Latitude,Longitude
4267,80,MOUNT,,MOUNT,VA,SCOTT,,,Scott,1889,1890,TRUE,7,100555,FALSE,1,FALSE,,,,,,,,,,,,,
4268,85,MOUNT,,MOUNT,VA,STAFFORD,,,Stafford,1895,1942,TRUE,2,100556,TRUE,47,TRUE,MOUNT,STAFFORD,VA,1470794,Locale,Mount,Stafford,38.5129,-77.38943,72,1,38.5129,-77.38943
4269,68,MOUNT AIRY,,MOUNT AIRY,VA,PITTSYLVANIA,,,Pittsylvania,1821,1931,FALSE,2,100594,TRUE,110,TRUE,MOUNT AIRY,PITTSYLVANIA,VA,1470796,Populated Place,Mount Airy,Pittsylvania,36.94292,-79.19224,196,1,36.94292,-79.19224
4270,7,MOUNT ALTA,,MOUNT ALTA,VA,AUGUSTA,,,Augusta,1848,1850,TRUE,9,100597,FALSE,2,FALSE,,,,,,,,,,,,,
4271,1,MOUNT ALTO,,MOUNT ALTO,VA,ALBEMARLE,,,Albemarle,1826,1838,FALSE,7,100598,TRUE,12,TRUE,MOUNT ALTO,ALBEMARLE,VA,1470805,Locale,Mount Alto,Albemarle,37.7582,-78.65918,194,1,37.7582,-78.65918
4272,7,MOUNT ALTO,,MOUNT ALTO,VA,AUGUSTA,,,Augusta,1866,1868,TRUE,9,100599,FALSE,2,FALSE,,,,,,,,,,,,,
4273,15,MOUNT ATHOS,,MOUNT ATHOS,VA,CAMPBELL,,,Campbell,1844,1906,FALSE,5,100602,TRUE,62,TRUE,MOUNT ATHOS,CAMPBELL,VA,1477007,Populated Place,Mount Athos (historical),Campbell,37.38764,-79.04419,230,1,37.38764,-79.04419
4274,43,MOUNT BETHEL,,MOUNT BETHEL,VA,HENRY,,,Henry,1872,1873,TRUE,9,100609,TRUE,1,TRUE,MOUNT BETHEL,HENRY,VA,1470810,Church,Mount Bethel Church,Henry,36.68597,-79.99421,312,,36.68597,-79.99421
4275,40,MOUNT CARMEL,,MOUNT CARMEL,VA,HALIFAX,,,Halifax,1852,1908,FALSE,4,100622,FALSE,56,FALSE,,,,,,,,,,,,,
4276,81,MOUNT CLIFTON,,MOUNT CLIFTON,VA,SHENANDOAH,,,Shenandoah,1850,1907,TRUE,5,100631,TRUE,57,TRUE,MOUNT CLIFTON,SHENANDOAH,VA,1493316,Populated Place,Mount Clifton,Shenandoah,38.7615,-78.71141,331,1,38.7615,-78.71141
